Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
340000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
350000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
359000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
368000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
380000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
390000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
392000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
450000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
460000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
468000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
488000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
488000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
489000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
510000,0000012F,false,Rx,0,8,52,00,2E,18,09,07,04,CF,
520000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
530000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
540000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
550000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
559000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
568000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
580000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
590000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
591000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
650000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
660000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
668000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
671000,00000197,false,Rx,0,8,0F,23,44,00,00,00,00,00,
687000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
688000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
691000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
720000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
730000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
740000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
750000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
759000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
768000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
780000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
790000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
792000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
850000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
860000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
868000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
888000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
889000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
890000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
920000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
930000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
940000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
950000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
959000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
968000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
980000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
990000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
