Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
599000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
599000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
599000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
600000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
600000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
601000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
691000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
699000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
699000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
719000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
799000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
799000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
799000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
800000,0000007F,false,Rx,0,8,00,00,00,00,00,00,00,00,
800000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
800000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
801000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
801000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
892000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
899000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
899000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
919000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
999000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
999000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
999000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
1000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
34000,000005E2,false,Rx,0,8,4E,0E,13,0C,09,1A,15,CF,
73000,000005E2,false,Rx,0,8,4E,0E,13,0C,09,1A,15,CF,
92000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
